"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","id","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user/advertiser_account_type","user/blocked_by","user/blocking","user/business_profile_state","user/can_dm","user/contributors_enabled","user/created_at","user/default_profile_image","user/description","user/ext_has_nft_avatar","user/fast_followers_count","user/favourites_count","user/follow_request_sent","user/followed_by","user/followers_count","user/following","user/friends_count","user/geo_enabled","user/has_custom_timelines","user/id","user/id_str","user/is_translation_enabled","user/is_translator","user/lang","user/listed_count","user/location","user/media_count","user/muting","user/name","user/normal_followers_count","user/notifications","user/profile_background_color","user/profile_background_image_url","user/profile_background_image_url_https","user/profile_background_tile","user/profile_banner_extensions_sensitive_media_warning","user/profile_banner_url","user/profile_image_extensions_sensitive_media_warning","user/profile_image_url","user/profile_image_url_https","user/profile_sidebar_border_color","user/profile_sidebar_fill_color","user/profile_text_color","user/profile_use_background_image","user/protected","user/require_some_consent","user/screen_name","user/statuses_count","user/time_zone","user/translator_type","user/url","user/utc_offset","user/verified","user/want_retweets","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name"
"1508118790114058247","2022-03-27T16:28:33.000Z","2","#RussiaUkraineWar #RusyaUkrayna #RussiaUkraine Rus Silahlı Kuvvetlerinin Ukraynalı askeri güçlerinin esir alındığı ile ilgili video https://t.co/ZtIkJndsDJ","RussiaUkraineWar","RusyaUkrayna","RussiaUkraine",,,,,,,,,,,,,,,,,,,,,,,,"1508118790114058247","2","4","https://twitter.com/Journalistcnyt/status/1508118790114058247",,,,"none",,,"none",,"false","2022-02-19T20:21:42.000Z","false","#Trtwolrd cameraman","false","0","0",,,"31",,"13","false","false","1495131422616699000","1495131422616698888","false","false",,"0","","728",,"Journalist_cuneyt","31",,"F5F8FA",,,"false",,,,"http://pbs.twimg.com/profile_images/1497617325897531396/C5E93b-A_normal.jpg","https://pbs.twimg.com/profile_images/1497617325897531396/C5E93b-A_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Journalistcnyt","783",,"none",,,"false",,,,
"1509553236167987202","2022-03-31T15:28:32.000Z","12","This is really wild! 😬😳😱
#UkraineRussianWar
#Ukraine #Russia #RussiaUkraine
https://t.co/Lt0zTuZIDa","UkraineRussianWar","Ukraine","Russia","RussiaUkraine",,,,,,,,,,,,,,,,,,,,,,,"1509553236167987202","1","1","https://twitter.com/auron83591234/status/1509553236167987202",,,,"promotable_user",,,"none",,"false","2020-01-23T06:11:53.000Z","false","Documentary filmmaker/World events/Cool videos/#Nature/#Animal/🌎🌍🌏🐶🐱🌺🍀🕊","false","0","44252",,,"15642",,"15549","false","true","1220227577056387000","1220227577056387072","false","false",,"15","Around the world","1377",,"Auron","15642",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1220227577056387072/1614255424",,"http://pbs.twimg.com/profile_images/1348163856871288832/UkzfQPRa_normal.jpg","https://pbs.twimg.com/profile_images/1348163856871288832/UkzfQPRa_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","auron83591234","2756",,"none",,,"false",,,,
"1279203337338974208","2022-03-31T09:27:04.000Z","177","#RussiaUkraine 
Captured Ukr vehicles in the #Izum area https://t.co/bAWu1IQWKQ","RussiaUkraine","Izum",,,,,,,,,,,,,,,,,,,,,,,,,"1509462271931871235","3","34","https://twitter.com/Cyberspec1/status/1509462271931871235",,,,"promotable_user",,,"none",,"false","2012-02-27T00:40:34.000Z","false","Mainly military related news and developments, focused on the Russian Army and everything else interesting

Be Warned: This is a Russophile Account","false","0","4885",,,"4232",,"110","false","true","505196984","505196984","false","false",,"96","Space Forces HQ","4725",,"Tony","4232",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/505196984/1648591270",,"http://pbs.twimg.com/profile_images/938682132498604033/gAhRFbzO_normal.jpg","https://pbs.twimg.com/profile_images/938682132498604033/gAhRFbzO_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Cyberspec1","10452",,"none",,,"false",,,,
"1279203337338974208","2022-03-31T00:47:40.000Z","88","#RussiaUkraine 
#DPR Militia firing AT missiles at a Ukr position...note the ""Right Sector"" Red &amp; Black flag that gets taken down at the end https://t.co/c4w8nzX1La","RussiaUkraine","DPR",,,,,,,,,,,,,,,,,,,,,,,,,"1509331560004083712","3","22","https://twitter.com/Cyberspec1/status/1509331560004083712",,,,"promotable_user",,,"none",,"false","2012-02-27T00:40:34.000Z","false","Mainly military related news and developments, focused on the Russian Army and everything else interesting

Be Warned: This is a Russophile Account","false","0","4885",,,"4232",,"110","false","true","505196984","505196984","false","false",,"96","Space Forces HQ","4725",,"Tony","4232",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/505196984/1648591270",,"http://pbs.twimg.com/profile_images/938682132498604033/gAhRFbzO_normal.jpg","https://pbs.twimg.com/profile_images/938682132498604033/gAhRFbzO_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Cyberspec1","10452",,"none",,,"false",,,,
"1509279480157818889","2022-03-30T21:20:43.000Z","4","Apparently Germany has banned the letter ‘Z’. 

🥴🤷‍♂️🤣

#RussiaUkraine https://t.co/ANLWod72nt","RussiaUkraine",,,,,,,,,,,,,,,,,,,,,,,,,,"1509279480157818889","0","0","https://twitter.com/LEFTPEGG/status/1509279480157818889",,,,"none",,,"none",,"false","2021-07-09T20:46:21.000Z","false","Political memes, cartoons and comment.","false","0","12120",,,"664",,"1425","false","true","1413600207430951000","1413600207430950918","false","false",,"1","","1478",,"LEFT PEG","664",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1413600207430950918/1632572103",,"http://pbs.twimg.com/profile_images/1413800195712749568/kAjqkpSp_normal.jpg","https://pbs.twimg.com/profile_images/1413800195712749568/kAjqkpSp_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","LEFTPEGG","7495",,"none",,,"false",,,,
"1279203337338974208","2022-03-31T06:47:05.000Z","13","#RussiaUkraine #Russophobia #Poland 
I'll give him credit for being upfront about it https://t.co/OjUoJBHHOq","RussiaUkraine","Russophobia","Poland",,,,,,,,,,,,,,,,,,,,,,,,"1509422010480295939","2","4","https://twitter.com/Cyberspec1/status/1509422010480295939",,,,"promotable_user",,,"none",,"false","2012-02-27T00:40:34.000Z","false","Mainly military related news and developments, focused on the Russian Army and everything else interesting

Be Warned: This is a Russophile Account","false","0","4885",,,"4232",,"110","false","true","505196984","505196984","false","false",,"96","Space Forces HQ","4725",,"Tony","4232",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/505196984/1648591270",,"http://pbs.twimg.com/profile_images/938682132498604033/gAhRFbzO_normal.jpg","https://pbs.twimg.com/profile_images/938682132498604033/gAhRFbzO_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Cyberspec1","10452",,"none",,,"false",,,,
"1509031837133602817","2022-03-30T04:56:41.000Z","3","Putin #Russia 

#RussiaInvadedUkraine #RussiaUkraine #RussianUkrainianWar #kgf2 https://t.co/9dkAi3pESN","Russia","RussiaInvadedUkraine","RussiaUkraine","RussianUkrainianWar","kgf2",,,,,,,,,,,,,,,,,,,,,,"1509031837133602817","0","0","https://twitter.com/PramodShetty21/status/1509031837133602817",,,,"none",,,"none",,"false","2022-03-08T12:18:15.000Z","false","","false","0","4",,,"0",,"4","false","false","1501170357159760000","1501170357159759873","false","false",,"0","","7",,"Pramod.Shetty.Editz","0",,"F5F8FA",,,"false",,,,"http://pbs.twimg.com/profile_images/1501170553503498245/14imqFXz_normal.jpg","https://pbs.twimg.com/profile_images/1501170553503498245/14imqFXz_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","PramodShetty21","7",,"none",,,"false",,,,
"1509105698604711936","2022-03-30T09:50:11.000Z","1","रशियन सैन्याचे मोठे नुकसान झाले असल्याचा युक्रेनच्या सैन्याने दावा केला आहे
#RussiaUkraine #Ukraine #RussiaUkraineWar  
https://t.co/itfY0EjCiN","RussiaUkraine","Ukraine","RussiaUkraineWar",,,,,,,,,,,,,,,,,,,,,,,,"1509105698604711936","0","0","https://twitter.com/abpmajhatv/status/1509105698604711936","marathi.abplive.com/news/world/rus…","https://marathi.abplive.com/news/world/russia-ukraine-war-17-thousand-russian-troops-were-killed-by-ukraine-army-1045892","https://t.co/itfY0EjCiN","promotable_user",,,"none",,"false","2009-06-29T17:22:58.000Z","false","मराठीतील नंबर 1 ट्विटर हँडल | लेटेस्ट अपडेट्ससाठी फॉलो करा | 
व्हिडीओ : https://t.co/E0Xox0Q7BE 
लाईव्ह स्ट्रिमिंग : https://t.co/Y4DxgNiTlB","false","0","499",,,"1214214",,"387","true","true","52121743","52121743","false","false",,"656","Mumbai, India","146777",,"ABP माझा","1214214",,"B30707","http://abs.twimg.com/images/themes/theme7/bg.gif","https://abs.twimg.com/images/themes/theme7/bg.gif","false",,"https://pbs.twimg.com/profile_banners/52121743/1648620404",,"http://pbs.twimg.com/profile_images/1339019961310703616/hTE9WKSp_normal.png","https://pbs.twimg.com/profile_images/1339019961310703616/hTE9WKSp_normal.png","FFFFFF","F3F3F3","333333","false","false","false","abpmajhatv","329450",,"none","https://t.co/AeRSPBVwfG",,"true",,,,
"1509044752716554242","2022-03-30T05:48:00.000Z","2","The colors of the richest family in the world, the Rothschilds
#Ukraine️ #russia #Azov #Mariupol #donbass #UkraineRussia #RussiaUkraine #RotschildGate

Read more here: https://t.co/EC2rQvvqgi https://t.co/PmrmPNn2ku","Ukraine️","russia","Azov","Mariupol","donbass","UkraineRussia","RussiaUkraine","RotschildGate",,,,,,,,,,,,,,,,,,,"1509044752716554242","0","2","https://twitter.com/ViktorZolotorev/status/1509044752716554242","hugotalks.com/2022/03/24/rot…","https://hugotalks.com/2022/03/24/rothschild-yellow-and-blue-%f0%9f%9f%a8%f0%9f%9f%a6-hugo-talks/","https://t.co/EC2rQvvqgi","none",,,"none",,"false","2015-07-14T15:03:38.000Z","false","","false","0","14",,,"1",,"7","false","false","3375816033","3375816033","false","false",,"0","","24",,"Viktor Zolotorev","1",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/3375816033/1444410117",,"http://pbs.twimg.com/profile_images/1503020376724492293/QRRFDv47_normal.jpg","https://pbs.twimg.com/profile_images/1503020376724492293/QRRFDv47_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","ViktorZolotorev","55",,"none",,,"false",,,,
"1509571799100669953","2022-03-31T16:42:18.000Z","2","Workers of all countries unite!
#NoWar! #SpeakOutAgainstWW3! 
#UkraineRussia #RussiaUkraine https://t.co/AdcBHRF4mT","NoWar","SpeakOutAgainstWW3","UkraineRussia","RussiaUkraine",,,,,,,,,,,,,,,,,,,,,,,"1509571799100669953","1","3","https://twitter.com/JudeJack/status/1509571799100669953",,,,"promotable_user",,,"none",,"false","2009-02-21T14:48:52.000Z","false","Socialist Equality Party supporter. Politics, Arts, Environment, cats & gardening. #FreeJulianAssange! #NOWAR! #NoToNationalism! #MaskUp! 😷","false","0","98593",,,"2247",,"5001","false","true","21489341","21489341","false","false",,"158","International","4185",,"Jude Jackson 💙 Solidarity with #NHS workers","2247",,"DEC9A6","http://abs.twimg.com/images/themes/theme5/bg.gif","https://abs.twimg.com/images/themes/theme5/bg.gif","true",,"https://pbs.twimg.com/profile_banners/21489341/1644775426",,"http://pbs.twimg.com/profile_images/1494390188658892809/H3kCV-P__normal.jpg","https://pbs.twimg.com/profile_images/1494390188658892809/H3kCV-P__normal.jpg","471D31","897A9C","07020D","true","false","false","JudeJack","120552",,"none","https://t.co/TTQVYQ3bRR",,"false",,,,
